title	country	year	genre	publisher	director	producer	episodes	actors	info	reception	awards
Category:Pinoy Big Brother	Philippine								Category:Pinoy Big Brother 14 2841027 1236949157 1231269228 2024-07-27T10:45:36Z FrederickEvans 45934531 Added category 1236949157 wikitext text/x-wiki __NOGALLERY__ Philippines Category:ABS-CBN reality shows Category:Kapamilya Channel original programming Category:Philippine television series based on Dutch television series Category:Television series by ABS-CBN Studios Category:Wikipedia categories named after Philippine television series 4rh2f1xcxsk2yjy9rhketace80qfrhm		
The Samurai	Japanese	1962	Jidaigeki	Tokyo Broadcasting System	Sadao Funatoko, Tōru Toyama	Toshio Kobayashi	128		The Samurai is a Japanese historical fiction television series made by Senkosha Productions during the early 1960s. Its original Japanese title was . The series premiered in 1962 on TBS and ran continuously until 1965 for ten self-contained story arcs (seasons), usually of 13 episodes each. Also created were two black-and-white feature films by Toei Company, made in 1964 by the same crew which created the TV series, and a stage show. The Samurai proved to be highly successful despite its initial...	Presumably responding to the increasing interest in Japan that accompanied the 1964 Tokyo Olympics, a few episodes of The Samurai were screened by Channel 9, Sydney in early 1964. After this first screening Channel 9 took the unprecedented step of inviting viewers to write in if they wanted to see more; the result was one of the largest viewer responses in the station's history, with thousands of letters sent in requesting more episodes. The entire series was shown, though the storylines were pr...	
Life Made Simple	Hong Kong	2005	Modern Comedy-Drama	Television Broadcasts Limited			32		Life Made Simple (Traditional Chinese: 阿旺新傳) is a TVB modern drama series broadcast in October 2005. The series is shown to celebrate TVB's 38th Anniversary. The series is an indirect sequel to 2002's Square Pegs (戇夫成龍). The main cast features Roger Kwok, Jessica Hsuan, and Leila Tong, returning from the original series, and the new cast includes Bosco Wong and Paul Chun. The indirect sequel takes place in the modern era instead of the ancient setting of its prequel.		[[Roger Kwok]] won his second &quot;Best Actor in a Leading Role&quot; Award for his role Ding Sheung Wong, at the 38th [[TVB Anniversary Awards]] in 2005. * [[Angela Tong]] won the &quot;Best Actress in a Supporting Role&quot; Award for her role Li Siu-Ho, at the 38th [[TVB Anniversary Awards]] in 2005.
Shōten	Japanese	1966	Owarai, Variety show	Nippon Television Network System	Ken Obata, Jin Obata				is a Japanese TV comedy program that has been continuously broadcast on Sunday evenings on Nippon TV since 15 May 1966, making it the second-longest running variety TV show in Japan.		
Dai Sentai Goggle-V	Japanese	1982	Fantasy, Science fiction, Superhero fiction, Tokusatsu	All-Nippon News Network		Moriyoshi Katō, Takeyuki Suzuki	50		is a Japanese tokusatsu television series. It was the sixth installment in Toei Company's Super Sentai metaseries of tokusatsu television dramas. It aired on TV Asahi from February 6, 1982, to January 29, 1983, replacing Taiyo Sentai Sun Vulcan and was replaced by Kagaku Sentai Dynaman with a total of 50 episodes. Its international English title as listed by Toei is simply Goggle V.		
Gridman the Hyper Agent	Japanese	1993	Action film, Adventure, Cyberpunk, Fantasy, Kaiju, Kyodai Hero, Mecha, Science fiction, Superhero, Tokusatsu	Japan News Network	Kimiyoshi Soga	Kazuo Tsubaraya, Nobuyuki Oyama	39		, known as Gridman the Hyper Agent in some English-speaking territories, is a 1993–1994 Japanese tokusatsu "Giant Hero" series created by Tsuburaya Productions (the producers of Ultraman) and would be Tsuburaya's last non-Ultra superhero production before Bio Planet WoO. It was the inspiration and source material for DiC Entertainment's Superhuman Samurai Syber-Squad. Shot on live video, Gridman was the first series by Tsuburaya Productions to utilize D-2 digital video for its special effects sc...		
Kyōryū Sentai Zyuranger	Japanese	1992	Action-adventure fiction, Science fantasy, Superhero fiction, Tokusatsu	All-Nippon News Network	Shōhei Tōjō	Kyōzō Utsunomiya, Atsushi Kaji, Tv Asahi, Takeyuki Suzuki, Shinichirō Shirakura, Toei Company Toei	50		is a Japanese tokusatsu television series and the sixteenth installment in the long-running Super Sentai metaseries of superhero programs. Produced by Toei, it aired on TV Asahi from February 21, 1992 to February 12, 1993, with a total of 50 episodes. preceded by Chōjin Sentai Jetman and succeeded by Gosei Sentai Dairanger. It was the first Sentai series to have a regular Sixth Ranger, and the first to introduce the concept of sentient, living mecha, a theme that has been used frequently in the ...		
Godzilla Island	Japanese	1997	Kaiju, Science fiction, Tokusatsu	TV Tokyo	Shun Mizutani		256	Jiro Dan, Nagisa Sawamura	is a television show spinoff of the Godzilla franchise. It premiered on October 6, 1997, and ran for a total of 256 three-minute episodes, finishing on September 30, 1998.		
Into Thin Air	Hong Kong	2005	Modern Drama	Television Broadcasts Limited			20		Into Thin Air (Traditional Chinese: 人間蒸發) is a TVB modern drama series broadcast in September 2005.		
Category:South Korean drama television series	South Korean								Category:South Korean drama television series 14 2956589 1085851738 1063534303 2022-05-02T20:15:28Z Dan Wescher 37313897 1085851738 wikitext text/x-wiki This category lists South Korean drama television series. Do not add to this category if the article belongs to one of the subcategories. Drama South Korea television drama 302f3ghyg5w384f5r9p79xmjumyi53n		
Nalong	South Korean	2004		Munhwa Broadcasting Corporation			52		Nalong () is a South Korean animated series, also known by the name Nalong, Fly To The Sky. The 52-episode sitcom series was broadcast by MBC TV in 2004. The animation was done by the now defunct Studio Kaab. The story centers on the animal character Nalong, a flying squirrel.		
SOP Gigsters	Philippine	2004	Variety show	GMA Network				Richard Gutierrez, Raymond Gutierrez, Chuck Allie, Rainier Castillo, Marky Cielo, Ryza Cenon, Jc De Vera, Sheena Halili, Mark Herras, Yasmien Kurdi, Jade Lopez, Jennylyn Mercado, Iwa Moto, C J Muere, Rhian Ramos, Lj Reyes, Jackie Rice, Jana Roxas, Mike Tan, Iya Villania	SOP Gigsters is a Philippine television variety show broadcast by GMA Network. Hosted by Richard Gutierrez and Raymond Gutierrez, it premiered on June 13, 2004. The show concluded on October 22, 2006.		
Ang Tamang Daan	Philippine	2001	Religious broadcasting	DZCE-TV, Net 25, Southern Broadcasting Network	Arsenio, Quotboots, Quot Bautista, Liza Francisco				Ang Tamang Daan () is a program produced by the Philippine-based religious organization, Iglesia ni Cristo, and aired over their television stations, Net 25 and Iglesia ni Cristo Television. Originally, the Iglesia ni Cristo debates and rebukes claims made by fellow Philippine religious organization Ang Dating Daan or MCGI and their presiding minister, Eliseo Soriano, about the beliefs of the Iglesia ni Cristo, primarily regarding the deity of Jesus Christ. Currently, it became a question and an...		
Beautiful Days	South Korean	2001	Drama film, Romance film		Lee Jang Soo Lee Jang Soo		24		Beautiful Days () is a 2001 South Korean television drama series starring Lee Byung-hun, Choi Ji-woo, Ryu Si-won and Lee Jung-hyun. The drama is the first entry in director Lee Jang-soo's Heaven Trilogy which includes Stairways to Heaven in 2003 and Tree of Heaven in 2006. It aired on SBS from March 14 to May 31, 2001, on Wednesdays and Thursdays at 21:55 for 24 episodes.		
The Gâteau Affairs	Hong Kong	2005	Modern Drama	Television Broadcasts Limited		Lam Chi Wah, Ltref Name, Quotsouthcn, Quot, Gt	20		The Gâteau Affairs () is a 20 episode TVB series in late 2004 and early 2005. It stars Joe Ma (馬德鐘), Myolie Wu (胡杏兒), Bobo Chan (陳文媛), Jack Wu (胡諾言) and Annie Man (文頌嫻). Bobo Chan provides the voice for the theme song. Gâteaux is misspelt as "Gâteux" for all scenes and captions within the series.		
Pororo the Little Penguin	South Korean	2003	Adventure fiction, Children's television series, Television comedy		Creativedirector		286		Pororo the Little Penguin () is a South Korean 3D computer-animated television series. The series premiered on EBS 1 in South Korea in 2003. It has eight seasons and ended on November 21, 2023. The series revolves around the adventures of a little penguin named Pororo, and his friends who live in the snowy village of Porong Porong Forest, who often encounter challenges and learn practical and moral lessons in each episode.		
Pop Star Kids	Philippine	2005	Reality competition	Q				Rita De Guzman, Julie Anne San Jose, Gigi De Lana, J Rey Soul, Cholo Bismonte, Vanessa Rangadhol, Enzo Almario, Kierulf Raboy, Marion Torres, Tabitha Caro, Suzette Soyangco, Jalynna Magadia, Dino Canido	Pop Star Kids is a Philippine television reality competition show broadcast by QTV. Hosted by Kyla, it premiered on November 19, 2005. The show concluded on July 29, 2007, with a total of two seasons.		
My Guardian Abby	Philippine	2005	Drama (film and television)	Q			24		My Guardian Abby is a Philippine television drama series broadcast by QTV. Starring Nadine Samonte in the title role, it premiered on November 15, 2005. The series concluded on April 25, 2006, with a total of 24 episodes.		
Holland V	Singaporean	2003		MediaCorp TV Channel 8		Kwek Leng Soong And Li Ningqiang	125		Holland V () is a 2003 Singaporean drama series produced by MediaCorp. It stars Chen Liping, Xie Shaoguang, Patricia Mok, Cynthia Koh, Jeanette Aw, Vivian Lai, Pierre Png, Xiang Yun and Mark Lee as the casts of the series. The series revolves around the Mo family operating a Nasi Lemak restaurant in Holland Village (or Holland V, also the title name for this drama). Originally intended to be 115 episodes long, the series was extended to 125 episodes after strong viewership. This drama was also w...		
My Fair Princess	Chinese, Taiwanese	1998	Costume drama, comedy drama, historical, soap opera, teen drama, wuxia	China Television	Sun Shu Pei, Li Ping	Ping Hsin Tao Ho Hsiu Chiung Wei Wenbin	24		My Fair Princess, also known as Return of the Pearl Princess or Princess Returning Pearl (), is a Chinese-language period drama jointly produced by Yi Ren Communications Co. (怡人傳播公司) of Taiwan and Hunan Economic Television (湖南經濟電視台) (now under Hunan Broadcasting System (HBS)) of China. Season 1 (1998) and Season 2 (1999) were first aired on China Television in Taiwan, followed by Hunan Economic Television in China. Season 3 (2003) was filmed with a largely different cast, receiving mixed reviews...		
The Gentle Crackdown	Hong Kong	2005	Costume Comedy	Television Broadcasts Limited		Lau Kar Ho	20	Moses Chan, Niki Chow, Wayne Lai, Michelle Yim, Halina Tam	The Gentle Crackdown (Traditional Chinese: 秀才遇著兵) is a TVB costume comedy series broadcast in May 2005. It stars Moses Chan, Niki Chow, Wayne Lai, Michelle Yim and Halina Tam.		
Sassy Girl Chun-hyang	South Korean	2005		KBS2	Jeon Ki Sang Ji Byung Hyun	Lee Deok Geon	17	Han Chae Young, Jae Hee, Uhm Tae Woong, Park Si Eun, Lee In Hye, Moon Ji Yoon, Ahn Suk Hwan, Choi Ran, Lee Han Wi, Park Si Hoo, Kim Chung, Joo Ho, Hong Ji Young, Son Il Kwon, Yoon Yong Hyun, Park Hyo Min			
All in a Family	Hong Kong	1994	RTHK	TVB	Creativedirector			Angela Chow, Andrew Johnston, Chan Chun Wah, Siu Ha Chan, Priscilla Koo, Wilson Lam, Scudder Smith, Pierre Tremblay, May Tse	All in a Family () was an immensely popular Hong Kong drama that first screened in 1994. It was based on the British television series Till Death Us Do Part.		
Category:Taiwanese television series	Chinese, Taiwanese								Category:Taiwanese television series 14 3134731 982722123 971579624 2020-10-09T22:32:58Z Mike Peel 214232 Removing misplaced Commons category link (:commons:Category:Television programmes from Taiwan) - Commons category belongs at Category:Taiwanese television shows 982722123 wikitext text/x-wiki Series Taiwanese Category:Television series by country bqc5riibejhd8eyhs5uutow0q7bjft9		
Super Rookie	South Korean	2005		Munhwa Broadcasting Corporation	Han Hee	Kim Sa Hyun	20		Super Rookie () is a 2005 South Korean television series starring Eric Mun, Han Ga-in, Oh Ji-ho, and Lee So-yeon. It aired on MBC from March 23 to May 26, 2005 on Wednesdays and Thursdays at 21:55 for 20 episodes. The workplace comedy is a satire on South Korea's corporate culture and unemployment among the country's younger generation. It scored solid viewership ratings in the 20% range.		
Spider-Man	Japanese	1978	Superhero fiction	Tokyo Channel 12	Koichi Takemoto		41	Spider Man	, also referred to as Japanese Spider-Man or Toei Spider-Man, is a Japanese live-action tokusatsu superhero television series produced by Toei Company, loosely based on the Marvel Comics character of the same name through a contract negotiated by producer Gene Pelc. The series aired for 41 episodes on Tokyo Channel 12 from May 17, 1978, to March 14, 1979. A theatrical episode aired at the Toei Manga Matsuri film festival on July 22, 1978. From March 5 to December 24, 2009, Marvel uploaded Englis...		
My Fair Lady	South Korean	2003	Drama film, Romance film	Seoul Broadcasting System		Executiveproducer	16	Kim Hee Sun, Go Soo, Park Han Byul, Son Chang Min, Kwon Hae Hyo, Shin Jung Hwan, Kim Jung Nan, Lee Soon Jae, Sunwoo Eun Sook, Im Hyun Sik, Jung Wook, Jung Jae Soon			
Only You	South Korean	2005	Drama, Romantic comedy		Choi Mun Seok, Ltref Name, Quotasian, Quot, Gt	Kim Yang	16	Han Chae Young, Jo Hyun Jae, Lee Chun Hee, Hong Soo Hyun, Song Ok Sook, Jeon Hye Bin, Jung Ae Ri, Lee Ah Hyun, Lee Byung Joon, Jung Won Joong, Jung Wook	Only You is a 2005 South Korean television series starring Han Chae-young, Jo Hyun-jae, Lee Chun-hee and Hong Soo-hyun. It is produced and broadcast by SBS from 4 June to 24 July 2005 for 16 episodes. It is the only Korean drama shot in Italy. The city in which has been shot the drama in Italy was Vicenza, which is located in the north East part, between Venice and Verona (about 50&nbsp;km distant from Venice).		
Salut D'Amour	South Korean	1994	Comedy film, Drama film, Romantic film	Korean Broadcasting System	Yoon Seok Ho		25	Bae Yong Joon, Kwon Oh Joong, Kim Ji Ho, Sung Hyun Ah, Kim Min Hee, Yoon Son Ha, Son Hyun Joo, Park Jun Hee, Lee Eun Soo, Park Jeong Mi, Lee Ui Jeong, Kim Kyung Eung, Kim Kyung Eun, Kim Kwang Young, Kim Byung Doo, Bae Doh Hwan	Salut D'Amour () is a South Korean television series that aired on KBS2 from November 1, 1994 to April 25, 1995 with a total of 25 episodes.		
Metropolitan Basketball Association	Philippine	1998	caption              =	ABS-CBN, ABS-CBN News Channel, ABS-CBN Sports and Action, People's Television Network, Studio 23, The Filipino Channel					The Metropolitan Basketball Association (MBA), also shortened as Metroball, was a professional basketball league in the Philippines that ran for five seasons from 1998 until 2002. The MBA was established to rival the Philippine Basketball Association (PBA). The MBA contained between 8 and 15 teams which represented cities and provinces who played at home and away. Initially, the league was divided into two conferences: the Northern Conference for teams based in Luzon and the Southern Conference ...		
Kinpachi-sensei	Japanese	1979	Drama		Creativedirector	Mitsuru Yanai			is a Japanese television drama that aired from 1979 to 2011. The official English title is Mr. Kinpachi in Class 3B. Kinpachi-sensei tells the story of a third-year junior high school class in Japan; its teacher is Kinpachi Sakamoto, played by Tetsuya Takeda. The series has a lot of social commentary on issues such as homosexuality, gender dysphoria, and psychological pregnancy, as well as bullying (of both students and teachers), teenage pregnancy, teenage suicide, hikikomori, and the extreme p...		
Fan Pan Tae	Thai	2000		Royal Thai Army Radio and Television Channel 5, Workpoint TV			444		Fan Pan Tae () is a quiz show of Thailand. Fan Pan Tae is a knowledge-enhancing game of personal interests. The program has become talk of the town shortly since its first broadcast on September 1, 2000. The game was recognized as winner of best game or quiz programme from Asian Television Award in 2003 and 2004. In addition, the show has won multiple awards from many institutions in Thailand. The game challenges player in all aspects of their passion such as sport, hobby, music, pop culture, fa...		
Piano	South Korean	2001	Melodrama, Romance film		Oh Jong Rok		16		Piano () is a 2001 South Korean television series starring Cho Jae-hyun, Go Soo, Kim Ha-neul and Zo In-sung. It aired on SBS from November 21, 2001 to January 10, 2002 on Wednesdays and Thursdays at 21:55 for 16 episodes. A melodrama about a father's love for his children and a forbidden romance between stepsiblings, Piano received high ratings during its airing, as well as acting recognition at the year-end network awards ceremony.		
Category:Japanese game shows	Japanese								Category:Japanese game shows 14 3252811 671985211 671985079 2015-07-18T12:19:30Z 112.198.77.108 ←Replaced content with 'Game shows Category:Game shows by country' 671985211 wikitext text/x-wiki Game shows Category:Game shows by country og5i1zdbn542gsfuljhi4kfm6q5z7od		
Krystala	Philippine	2004	Fantaserye	ABS-CBN	Trina N Dayrit, Rory B Quintos, Mae R Cruz, Nuel C Naval, Ltref, Gtcite News Lastyap Firstdj Lastsan Diego Firstbayani Titleactress Saves Sick Ma, Loses Home In Fire Urlhttps, Books Google Com, Booksidfyaaaaibaj, Amppgpa Access Dateaugust, Publisherphilippine Daily Inquirer Datedecember, Languageen, Lt, Ref, Gt		138		Krystala is a Philippine television drama science fiction fantasy adventure series broadcast by ABS-CBN. Directed by Trina N. Dayrit, Rory B. Quintos, Mae R. Cruz and Nuel C. Naval, starring Judy Ann Santos in the title role. It aired on the network's Primetime Bida line up from October 11, 2004 to April 22, 2005, replacing Victim Undercover.	The show gained a 36% rating on its opening night, cementing Krystala as a successful hit among Philippine televiewers especially in the Mega Manila ratings where ABS-CBN started to lose its hold of the area. This caused many viewers from the channel's rival network, GMA Network, jump to ABS-CBN. It was known that GMA Network would lead in Mega Manila but ABS-CBN still led in the nationwide ratings. Its highest rating was its 3rd episode, 43.1% and an average of 33.1% (Mega Manila ratings).	
Full House	South Korean	2004	Comedy film, Drama film, Romance film		Pyo Min Soo	Jung Sung Hyo, Park Chang Sik, Lee Ho Seong	16	Rain, Song Hye Kyo, Han Eun Jung, Kim Sung Soo, Jang Yong, Sunwoo Eun Sook, Kim Ji Young, Lee Young Eun, Im Ye Jin, Kang Do Han	Full House () is a 2004 South Korean television series starring Rain, Song Hye-kyo, Han Eun-jung, and Kim Sung-soo. Based on the manhwa Full House by Won Soo-yeon, the romantic comedy series aired on KBS2 on Monday and Friday at 21:50 (KST) for 16 episodes from July 14 to September 2, 2004. Considered a pioneer of the "romantic comedy" genre in Korean drama, the drama was a great success in Asia and helped propel the Korean Wave.		2004 [[KBS Drama Awards]]&lt;ref&gt;{{Cite web|title
Kagaku Sentai Dynaman	Japanese	1983	Action film, Adventure, Science fiction, Superhero fiction, Tokusatsu	All-Nippon News Network		Seiji Abe, Moriyoshi Katō, Takeyuki Suzuki, Yasuhiro Tomita	51		is a Japanese tokusatsu television series and the seventh installment of Toei Company's Super Sentai metaseries. It aired on TV Asahi from February 5, 1983, to January 28, 1984, replacing Dai Sentai Goggle-V and was replaced by Choudenshi Bioman with a total of 51 episodes. The international English title is listed by Toei as simply Dynaman. Yutaka Izubuchi designed the villains of the series. This was his first time designing Super Sentai suits and costumes; he would later be recruited again to...		
Portrait of Home	Singaporean	2005	Modern Drama	Channel 8	Loo Yin Kam, Tay Peck Choo, Loh Woon Woon	Li Ningqiang	1	Louise Lee, Richard Low, Chen Shucheng, Xiang Yun, Adrian Pang, Yao Wenlong, Cavin Soh, Terence Cao, Pierre Png, Zhang Yaodong	Portrait of Home () is a Chinese language drama serial which was filmed for and broadcast on Singapore's Mediacorp TV Channel 8 in 2005. It stars Louise Lee, Xiang Yun, Adrian Pang, Pierre Png and Felicia Chin as the casts of the series. It is shown on weekdays at 7pm. The show has 100 episodes telecast in two segments, the first part with 60 episodes and the second part with 40 episodes.		
Bad Housewife	South Korean	2005	Comedy drama, Drama	Seoul Broadcasting System	Yoo In Sik, Jang Tae Yu	Jang Tae Yoo	18	Son Chang Min, Shin Ae Ra, Yuko Fueki, Ji Sang Ryeol, Cho Yeon Woo, Lee Young Yoo, Yeo Woon Kay, Kim Ja Ok, Kim Hee Ra, Boys24, Kang Jung Hwa, Lee Kyung Sil, Kim Sung Kyum, Song Seung Yong			
Eat Bulaga!	Philippine	1979	Variety show	ABS-CBN, GMA Network, Radio Philippines Network, TV5, [[ABS-CBN]], [[GMA Network]], [[Radio Philippines Network]], [[TV5 |TV5]]	Gma Network Gma Network, Bert De Leon, Philippine Daily Inquirer	Antonio P Tuviera Romeo Jalosjos Jr Tito Sotto Vic Sotto Joey De Leon			Eat ! (; stylized as Eat... Bulaga!) is a Philippine television variety show broadcast by Radio Philippines Network, ABS-CBN, GMA Network and TV5. Originally hosted by Tito Sotto, Vic Sotto, Joey de Leon, Chiqui Hollmann and Richie D'Horsie, it premiered on Radio Philippines Network on July 30, 1979, on the network's afternoon line up. The show moved to ABS-CBN on February 18, 1989, and later on GMA Network on January 28, 1995. By 2024, TV5 airs the show. It is the longest-running variety show i...		
Survivor's Law	Hong Kong	2003	Modern Drama	TVB Jade	Creativedirector	Television Broadcasts Limited Tvb	25	Raymond Lam, Myolie Wu, Sammul Chan, Bernice Liu, Lok Ying Kwan, Ruby Wong, Lee Kwok Lun, Hui Siu Hung, Chan Ka Yee, Casper Chan, Lee Sing Cheung, Rosanne Lui, Liu Kai Chi, Juno Mak, Helen Tam, Cha Cha Chan, Winnie Yeung	Survivor's Law (Traditional Chinese: 律政新人王) is a 25-episode TVB drama broadcast between July 14, 2003 to August 15, 2003. It is the direct prequel to 2007's Survivor's Law II (律政新人王II).		
My Love Patzzi	South Korean	2002	Comedy film, Romance film	Munhwa Broadcasting Corporation	Lee Jin Suk		10				
GoGo Sentai Boukenger	Japanese	2006	Science fantasy, Superhero fiction, Tokusatsu	All-Nippon News Network	Satoshi Morota, Shojiro Nakazawa, Noboru Takemoto, Tarou Sakamoto, Nobuhiro Suzumura, Katsuya Watanabe	Hedwig Schreck, Jun Hikasa, Takaaki Utsunomiya, Kōichi Yada, Masashi Yagi	49		is the 30th series in Toei's Super Sentai series, a metaseries of Japanese tokusatsu programming. It was the first installment to be produced and broadcast in the 16:9 aspect ratio. It aired from February 19, 2006, to February 11, 2007, and was replaced by Juken Sentai Gekiranger. Its footage was used in the American series, Power Rangers Operation Overdrive and was dubbed into Korean for the South Korean market, airing there as Power Rangers Treasure Force.		
As You Like It	Singaporean	2000					13		As You Like It (随心所遇) is a Singaporean Chinese television series about four singles around the age of twenty, two guys and two girls, and the time they spend together discussing life, love, sex and work. It stars Tay Ping Hui, Ix Shen, Lynn Poh, Joey Swee and Bernard Tan.		
Edo o Kiru	Japanese								Edo o Kiru 0 3440312 1319448960 1304989944 2025-10-29T22:12:51Z Nicholas0 1584593 Category:Jidaigeki -> Category:Jidaigeki television series 1319448960 wikitext text/x-wiki or Slashing Edo was a popular jidaigeki on Japan's Tokyo Broadcasting System. During the decades from its 1973 premiere until 1994, finale, 214 episodes aired. It lasted through eight series, with several casts and settings. It ran on Monday evenings in the 8:00–8:54 prime time slot, sponsored by National, and remains popular...		
Citizen Pinoy	Philippine	2005	Public broadcasting, Talk show	The Filipino Channel	Sam Simbulan	Abs Cbn News And Current Affairs	2005		Citizen is a Philippine television public service and talk show broadcast by The Filipino Channel. Hosted by Michael J. Gurfinkel, it premiered in 2005. The program specializes in helping the Filipino community deal with immigration problems from here in North America all the way back to the Philippines. The show has featured many people who have dealt with problems in becoming an American citizen from the common and Filipino celebrities.		
My Lucky Charm	Singaporean	2005	Modern Drama	Channel 8			25	Jeanette Aw, Jesseca Liu, Huang Biren, Cavin Soh, Chen Hanwei, Chew Chor Meng, Bukoh Mary, Andrew Seow	My Lucky Charm 情来运转 is a 25 episode Chinese drama shown on MediaCorp Channel 8 in Singapore and made its debut on 3 January 2005.		
Stand by Me	Singaporean	1998	Family drama	Channel 8		Kok Len Shoong	20	Xie Shaoguang, Terence Cao, Huang Biren, May Phua, Deborah Sim, Chen Shucheng, Ding Lan, Joey Swee, Raymond Yong	Stand by Me () is a 1998 Singaporean Mandarin drama series which aired on MediaCorp TV Channel 8 (then known as TCS - Television Corporation of Singapore) in April 1998. The serial garnered favourable responses from the audience during its telecast with its touching and heart-rending storyline, and also with critically acclaimed acting from the cast. It won the Best Drama Serial award at the Star Awards 1998. Xie Shaoguang and Huang Bi Ren were also awarded the Best Actor and Best Actress awards...		
Stepping Out	Singaporean	1999	Period drama	Channel 8	Loo Yin Kam	Kwek Leng Soong	30	Xie Shaoguang, Terence Cao, Cynthia Koh, Tay Ping Hui, Yvonne Lim, Ivy Lee, Chen Huihui	Stepping Out () is a 1999 Singaporean Mandarin drama series adapted from a historical book, which reran several times like in 2006, 2019 and in 2021. It stars Yvonne Lim, Terence Cao, Cynthia Koh, Xie Shaoguang, Ivy Lee and Tay Ping Hui as the casts of the series. The series focuses on the Chinese immigrant experience in Singapore, and their rough, hard ascent (along with the rest of Singapore) to the present state of wealth and riches that is unprecedented in Singaporean history. The drama begi...		
Beautiful Connection	Singaporean	2002		Channel 8			20		Beautiful Connection () is a Singaporean Chinese family drama serial. It was telecast in 2002. The show earned many nominations for the Star Awards including Best Actor, Best Actress, Best Supporting Actress, Best TV Drama, Best Theme Song, Best Director and many more. This drama repeated in Year 2007, on MediaCorp TV Channel 8, Mondays and Tuesdays, 10.30pm to 12.30am. The series is also mentioned in episode 45 of 118 Season 1.		
Three Women and A Half	Singaporean								Three Women and A Half 0 3536912 1311436407 1276207905 2025-09-15T06:38:38Z Justanothersgwikieditor 1574590 /* 2001 Accolades */ clean up, added source 1311436407 wikitext text/x-wiki Three Women and A Half 三个半女人 is a top-rated drama series in Singapore filmed by Matrix Vision and screened on MediaCorp TV Channel 8 in 2001. It starred Huang Wenyong, Aileen Tan, Huang Biren, Lin Meijiao and Vivian Lai. The plot mainly revolves around three office ladies Jane, Monica and Rachel competing with one ...		
Beautiful Trio	Singaporean	2004	Modern Romance	Channel 8			20		Beautiful Trio (大女人·小女人) is a Chinese language drama broadcast on Singapore's largest television network, MediaCorp TV Channel 8. The show was filmed in 2003 but broadcast in 2004. It stars Huang Biren, Ivy Lee, Stella Huang & Zhang Yaodong as the casts of the series. This series was re-telecasted on MediaCorp TV Channel 8 on every Saturday, 11am to 1pm and has since ended its re-run on 31 January 2009.		
Angel's Dream	Singaporean	2000	Mystery, Thriller	Channel 8	Zheng Bi Zhu	Kok Len Shoong	15	Ivy Lee, Terence Cao, Huang Biren, Apple Hong, Robin Leong, Michelle Chong, Richard Low	Angel's Dream () is a 15-episode Singaporean Mandarin drama television series aired on MediaCorp TV Channel 8 in 2000. The drama series revolves around a murder case and stars Ivy Lee, Terence Cao, Huang Biren and Apple Hong. It was the Best Drama Serial of the year and won Ivy Lee the Best Actress award at the Star Awards 2000. It is produced by MediaCorp's acclaimed producer, Kok Len Shoong.		
Hainan Kopi Tales	Singaporean	2000	Family Drama		Chia Mien Yang		20	Chew Chor Meng, Yao Wenlong, Ryan Choo, Vincent Ng, Cynthia Koh, Florence Tan, Lin Meijiao, Chen Huihui, Li Wenhai, Carole Lin, Dai Peng, Alice Ho	Hainan Kopi Tales (琼园咖啡香) is a Singaporean Chinese drama serial produced by Mediacorp which aired in year 2000 on Channel 8. The drama serial follow the lives of Hainanese in Singapore from the 1960s to the 1990s.	After the sixth episode was broadcast in Singapore, some Hainanese in Singapore and Malaysia were upset over the episode as certain remarks were deemed insulting to the Hainanese when they had to defer to the Westerners in Singapore.&lt;ref name=&quot;:0&quot; /&gt; The scene reflected a real life incident where members of the audience beat up actors in a play over 2 lines of dialogue and the dialogue was reproduced in the episode.&lt;ref name=&quot;:1&quot; /&gt; Various Hainanese clans and ass...	
Romance de Amour	Singaporean								Romance de Amour 0 3546719 1194507047 1190588041 2024-01-09T09:14:36Z Justanothersgwikieditor 1574590 /* Nominations */ rename section, fix table 1194507047 wikitext text/x-wiki Romance de Amour 1加1等于3 is a Chinese drama serial in Singapore aired in 2003. It has 30 episodes. The title is based on the French "romance d'amour" meaning a ballad or song of love. Jacelyn Tay sings the theme song of the show. The show stars Li Nanxing, Aileen Tan, Jacelyn Tay, Pan Lingling, Lin Meijiao, Rayson Tan, Hu...		
First Love	South Korean	1996	Romance film		Lee Eung Jin	Korean Broadcasting System Kbs	66	Choi Soo Jong, Lee Seung Yeon, Bae Yong Joon, Choi Ji Woo, Park Sang Won, Lee Hye Young, Son Hyun Joo, Yoon Mi Ra, Park Jung Soo, Kim Tae Woo, Song Hye Kyo, Cha Tae Hyun, Song Chae Hwan, Bae Do Hwan, Jo Kyung Hwan, Kim In Moon, Jeon Yang Ja, Michael Bratvold	First Love () is a South Korean television series starring Choi Soo-jong, Lee Seung-yeon, and Bae Yong-joon. It aired on KBS2 from September 7, 1996 to April 20, 1997 on Saturday and Sunday at 19:55 for 66 episodes. It is currently the second highest-rated Korean drama of all time, based on single episode viewership ratings, reaching 65.8% on its final broadcast on April 20, 1997. Its average rating for its entire run was 52.6%. In 1997, the series aired on China Central Television to commercial...		
